Id,ActivityHour,TotalIntensity,AverageIntensity,Hour
1503960366,4/12/2016 12:00:00 AM,20,0.333333,0:00
1503960366,4/12/2016 1:00:00 AM,8,0.133333,1:00
1503960366,4/12/2016 2:00:00 AM,7,0.116667,2:00
1503960366,4/12/2016 3:00:00 AM,0,0,3:00
1503960366,4/12/2016 4:00:00 AM,0,0,4:00
1503960366,4/12/2016 5:00:00 AM,0,0,5:00
1503960366,4/12/2016 6:00:00 AM,0,0,6:00
1503960366,4/12/2016 7:00:00 AM,0,0,7:00
1503960366,4/12/2016 8:00:00 AM,13,0.216667,8:00
1503960366,4/12/2016 9:00:00 AM,30,0.5,9:00
1503960366,4/12/2016 10:00:00 AM,29,0.483333,10:00
1503960366,4/12/2016 11:00:00 AM,12,0.2,11:00
1503960366,4/12/2016 12:00:00 PM,11,0.183333,12:00
1503960366,4/12/2016 1:00:00 PM,6,0.1,13:00
1503960366,4/12/2016 2:00:00 PM,36,0.6,14:00
1503960366,4/12/2016 3:00:00 PM,58,0.966667,15:00
1503960366,4/12/2016 4:00:00 PM,13,0.216667,16:00
1503960366,4/12/2016 5:00:00 PM,16,0.266667,17:00
1503960366,4/12/2016 6:00:00 PM,29,0.483333,18:00
1503960366,4/12/2016 7:00:00 PM,39,0.65,19:00
1503960366,4/12/2016 8:00:00 PM,41,0.683333,20:00
1503960366,4/12/2016 9:00:00 PM,31,0.516667,21:00
1503960366,4/12/2016 10:00:00 PM,9,0.15,22:00
1503960366,4/12/2016 11:00:00 PM,21,0.35,23:00
1503960366,4/13/2016 12:00:00 AM,14,0.233333,0:00
1503960366,4/13/2016 1:00:00 AM,0,0,1:00
1503960366,4/13/2016 2:00:00 AM,0,0,2:00
1503960366,4/13/2016 3:00:00 AM,4,0.066667,3:00
1503960366,4/13/2016 4:00:00 AM,0,0,4:00
1503960366,4/13/2016 5:00:00 AM,0,0,5:00
1503960366,4/13/2016 6:00:00 AM,0,0,6:00
1503960366,4/13/2016 7:00:00 AM,8,0.133333,7:00
1503960366,4/13/2016 8:00:00 AM,12,0.2,8:00
